contract_date,contract_no.,sent_to_laserfiche_contract,sent_to_laserfiche_fixation,customer_name,consignee_name,trade_slip_contract_price,trade_slip_total_cost,trade_slip_net_price,country,agent_name,vmi,amendment,commodity,origin,contract_quality,quality_type,crop_year,local_quality_text,sales_terms,from,shipped_from_country,final_destination,destination_country,payment_terms,delivery_shipment,delivery_or_shipment_period,quantity,quantity_unit,weight_mt,net_weight_in_lots__in_mt_,gross_weight_in_lots__in_mt_,unapplied_weight_mt,uninvoiced_weight_mt,washout_weight_in_mt,uninvoiced_quantity,l_c_numbers,+__,price,price_unit,price_method,cover_month,cover_year,average_price,market_price,market_price_unit,hypothetical_exchange,hypothetical_cover_month,hypothetical_cover_year,hypothetical_on_off_ratio,hypothetical_differential_ratio,hypothetical_differential_price_unit,sas_approved,posting_dates,on_call_balance,total_weight_fixed,number_of_lot_to_be_fixed,number_of_lot_fixed,trade_slip_price,market_price2,selling_commission,buying_commission,fob_nett,anticipated_margin,anticipated_purchase_price,costs_to_fob_new_trade_slip,freight_new_trade_slip,insurance_new_trade_slip,other_costs_new_trade_slip,controlling_costs_new_trade_slip,bank_charges_costs_new_trade_slip,weight_loss_costs_new_trade_slip,interest_costs_new_trade_slip,cost_hedge_costs_new_trade_slip,custom_charge_costs_new_trade_slip,custom_duties_costs_new_trade_slip,customer,commission_price_unit,commission_on_amount_rate__%_,commission_on_quantity_sign,commission_on_quantity_rate,commission_on_weight_sign,commission_on_weight_rate,commission_on_price_unit_sign,commission_on_price_unit_rate,agent_commission_price_unit,agent_on_amount_rate__%_,agent_on_weight_sign,agent_on_price_unit_rate,periods__begin_,periods__end_,price__exchange_,exchange_price_unit,s.i._no.,s.i._date,advice_no.,advice_date,fixation_date,created_on,created_by,invoiced,invoiced_on,third_party_invoiced_amount,third_party_currency,margin_percentage,is_invoiced
2022-08-17,CT2022080001,0,0,Global Trading Co.,Maritime Shipping Corp.,14245.26,12108.47,259406.18,United Kingdom,,,,Cashew Kernels W450,India,,,2022,,FOB,India,India,United Kingdom,United Kingdom,TT 30 days,Prompt,August 2022,1,Containers,18.21,18.21,18.57,0,0.0,0,0,,,14245.26,USD/MT,Fixed,,,14245.26,14552.99,USD/MT,,,,,,,1,,0,18.21,0,1,14245.26,,2594.06,1297.03,254218.06,38910.94,12108.47,1210.85,910.5,518.81,1297.03,0,259.41,0,0,0,0,0,Global Trading Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2022-08-17,2022-09-16,,,,,,,,2022-08-17,System,1,2022-09-06,249271.67,EUR,15.0,1
2023-03-28,CT2023030002,1,1,Continental Distributors,Quick Ship Logistics,10381.75,8824.49,379868.23,France,,,,Cashew Kernels W240,Nigeria,,,2023,,CIF,Nigeria,Nigeria,France,France,LC 60 days,Prompt,March 2023,2,Containers,36.59,36.59,37.32,0,0.0,0,0,,,10381.75,USD/MT,Fixed,,,10381.75,10700.6,USD/MT,,,,,,,1,,0,36.59,0,2,10381.75,,3798.68,1899.34,372270.87,56980.14,8824.49,882.45,1829.5,759.74,1899.34,0,379.87,0,0,0,0,0,Continental Distributors,USD/MT,1.0,,0,,0,,0,,0,,0,2023-03-28,2023-04-27,,,,,,,,2023-03-28,System,1,2023-05-06,362711.79,EUR,15.0,1
2022-09-13,CT2022090003,0,0,Royal Nut Company,Land Transport Group,10531.45,8951.73,1002699.35,Germany,,,,Cashew Kernels LWP,Mozambique,,,2022,,CIF,Mozambique,Mozambique,Germany,Germany,CAD,Prompt,September 2022,5,Containers,95.21,95.21,97.11,0,0.0,0,0,,,10531.45,USD/MT,Fixed,,,10531.45,10917.41,USD/MT,,,,,,,1,,0,95.21,0,5,10531.45,,10026.99,5013.5,982645.36,150405.14,8951.73,895.17,4760.5,2005.4,5013.5,0,1002.7,0,0,0,0,0,Royal Nut Company,USD/MT,1.0,,0,,0,,0,,0,,0,2022-09-13,2022-10-13,,,,,,,,2022-09-13,System,1,2022-10-12,991322.14,USD,15.0,1
2023-07-24,CT2023070004,1,1,Continental Distributors,Air Cargo International,12912.74,10975.83,469507.23,Netherlands,,,,Cashew Kernels Splits,Ivory Coast,,,2023,,FOB,Ivory Coast,Ivory Coast,Netherlands,Netherlands,TT 30 days,Prompt,July 2023,2,Containers,36.36,36.36,37.09,0,0.0,0,0,,,12912.74,USD/MT,Fixed,,,12912.74,13544.85,USD/MT,,,,,,,0,,0,36.36,0,2,12912.74,,4695.07,2347.54,460117.09,70426.05,10975.83,1097.58,1818.0,939.01,2347.54,0,469.51,0,0,0,0,0,Continental Distributors,USD/MT,1.0,,0,,0,,0,,0,,0,2023-07-24,2023-08-23,,,,,,,,2023-07-24,System,1,2023-08-23,449867.8,GBP,15.0,1
2023-10-27,CT2023100005,1,0,Green Valley Foods,Warehouse Solutions Inc.,8463.32,7193.82,434252.95,United Kingdom,,,,Cashew Kernels W240,Nigeria,,,2023,,FCA,Nigeria,Nigeria,United Kingdom,United Kingdom,CAD,Prompt,October 2023,3,Containers,51.31,51.31,52.34,0,0.0,0,0,,,8463.32,USD/MT,Fixed,,,8463.32,8264.33,USD/MT,,,,,,,0,,0,51.31,0,3,8463.32,,4342.53,2171.26,425567.89,65138.05,7193.82,719.38,2565.5,868.51,2171.26,0,434.25,0,0,0,0,0,Green Valley Foods,USD/MT,1.0,,0,,0,,0,,0,,0,2023-10-27,2023-11-26,,,,,,,,2023-10-27,System,1,2023-12-12,421130.52,EUR,15.0,1
2023-06-23,CT2023060006,0,0,Golden Harvest Co.,Quick Ship Logistics,14982.76,12735.35,736103.0,South Korea,,,,Cashew Kernels Pieces,Mozambique,,,2023,,FCA,Mozambique,Mozambique,South Korea,South Korea,TT Advance,Prompt,June 2023,3,Containers,49.13,49.13,50.11,0,49.13,0,3,,,14982.76,USD/MT,Fixed,,,14982.76,15173.71,USD/MT,,,,,,,1,,0,0.0,0,0,14982.76,,7361.03,3680.51,721380.94,110415.25,12735.35,1273.54,2456.5,1472.21,3680.51,0,736.1,0,0,0,0,0,Golden Harvest Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2023-06-23,2023-07-23,,,,,,,,2023-06-23,System,0,,0.0,USD,15.0,0
2022-05-11,CT2022050007,1,0,Pacific Rim Foods,Land Transport Group,8080.37,6868.31,765372.65,Singapore,,,,Cashew Kernels LWP,Tanzania,,,2022,,FOB,Tanzania,Tanzania,Singapore,Singapore,CAD,Prompt,May 2022,5,Containers,94.72,94.72,96.61,0,94.72,0,5,,,8080.37,USD/MT,Fixed,,,8080.37,7913.51,USD/MT,,,,,,,0,,0,0.0,0,0,8080.37,,7653.73,3826.86,750065.2,114806.33,6868.31,686.83,4736.0,1530.75,3826.86,0,765.37,0,0,0,0,0,Pacific Rim Foods,USD/MT,1.0,,0,,0,,0,,0,,0,2022-05-11,2022-06-10,,,,,,,,2022-05-11,System,0,,0.0,GBP,15.0,0
2024-07-18,CT2024070008,0,0,Global Trading Co.,Maritime Shipping Corp.,14093.63,11979.59,1349465.07,Canada,,,,Cashew Kernels W450,Nigeria,,,2024,,CFR,Nigeria,Nigeria,Canada,Canada,CAD,Prompt,July 2024,5,Containers,95.75,95.75,97.67,0,0.0,0,0,,,14093.63,USD/MT,Fixed,,,14093.63,14233.08,USD/MT,,,,,,,1,,0,95.75,0,5,14093.63,,13494.65,6747.33,1322475.77,202419.33,11979.59,1197.96,4787.5,2698.93,6747.33,0,1349.47,0,0,0,0,0,Global Trading Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2024-07-18,2024-08-17,,,,,,,,2024-07-18,System,1,2024-08-11,1307221.0,GBP,15.0,1
2022-02-09,CT2022020009,0,0,Asia Pacific Imports,Air Cargo International,14146.07,12024.16,445035.36,Brazil,,,,Cashew Kernels LWP,Nigeria,,,2022,,FOB,Nigeria,Nigeria,Brazil,Brazil,LC 30 days,Prompt,February 2022,2,Containers,31.46,31.46,32.09,0,0.0,0,0,,,14146.07,USD/MT,Fixed,,,14146.07,14372.05,USD/MT,,,,,,,0,,0,31.46,0,2,14146.07,,4450.35,2225.18,436134.65,66755.29,12024.16,1202.42,1573.0,890.07,2225.18,0,445.04,0,0,0,0,0,Asia Pacific Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2022-02-09,2022-03-11,,,,,,,,2022-02-09,System,1,2022-02-28,444545.48,GBP,15.0,1
2023-06-27,CT2023060010,1,0,Ocean Trade Partners,Quick Ship Logistics,12701.81,10796.54,651475.83,South Korea,,,,Cashew Kernels SW,India,,,2023,,CFR,India,India,South Korea,South Korea,TT Advance,Prompt,June 2023,3,Containers,51.29,51.29,52.32,0,0.0,0,0,,,12701.81,USD/MT,Fixed,,,12701.81,12813.98,USD/MT,,,,,,,0,,0,51.29,0,3,12701.81,,6514.76,3257.38,638446.31,97721.29,10796.54,1079.65,2564.5,1302.95,3257.38,0,651.48,0,0,0,0,0,Ocean Trade Partners,USD/MT,1.0,,0,,0,,0,,0,,0,2023-06-27,2023-07-27,,,,,,,,2023-06-27,System,1,2023-07-27,626221.28,GBP,15.0,1
